Distance_(mm),Gray_Value
0.000,119.151
0.085,112.732
0.169,106.241
0.254,100.064
0.339,95.588
0.423,92.838
0.508,92.596
0.593,96.652
0.677,107.217
0.762,117.679
0.847,124.497
0.931,128.240
1.016,131.117
1.101,133.195
1.185,133.729
1.270,133.783
1.355,133.319
1.439,132.636
1.524,132.314
1.609,132.203
1.693,132.433
1.778,132.613
1.863,132.314
1.947,131.902
2.032,132.272
2.117,132.078
2.201,131.932
2.286,132.235
2.371,132.517
2.455,132.187
2.540,132.133
2.625,132.709
2.709,133.131
2.794,132.999
2.879,132.928
2.963,132.719
3.048,132.992
3.133,133.083
3.217,133.046
3.302,133.050
3.387,132.897
3.471,133.063
3.556,133.179
3.641,133.031
3.725,133.084
3.810,133.124
3.895,133.300
3.979,133.233
4.064,133.331
4.149,133.574
4.233,133.877
4.318,133.535
4.403,133.312
4.487,133.432
4.572,133.591
4.657,133.736
4.741,133.826
4.826,133.949
4.911,133.719
4.995,133.561
5.080,133.747
5.165,133.656
5.249,133.616
5.334,133.710
5.419,133.949
5.503,133.888
5.588,133.931
5.673,133.844
5.757,133.642
5.842,133.675
5.927,133.912
6.011,133.975
6.096,134.014
6.181,133.975
6.265,133.812
6.350,133.817
6.435,133.742
6.519,133.845
6.604,133.885
6.689,133.795
6.773,133.635
6.858,133.845
6.943,133.869
7.027,133.958
7.112,133.977
7.197,134.033
7.281,133.956
7.366,133.854
7.451,133.862
7.535,133.948
7.620,133.982
7.705,133.734
7.789,133.743
7.874,133.826
7.959,133.863
8.043,133.977
8.128,133.893
8.213,133.849
8.297,133.861
8.382,133.867
8.467,133.933
8.551,133.971
8.636,133.941
8.721,133.953
8.805,133.878
8.890,134.001
8.975,134.027
9.059,133.941
9.144,134.057
9.229,134.174
9.313,134.065
9.398,134.092
9.483,134.078
9.567,134.241
9.652,134.263
9.737,134.251
9.821,134.154
9.906,134.118
9.991,134.203
10.075,134.084
10.160,133.996
10.245,134.038
10.329,134.095
10.414,134.078
10.499,134.020
10.583,133.771
10.668,133.785
10.753,133.562
10.837,133.724
10.922,133.678
11.007,133.506
11.091,133.580
11.176,133.614
11.261,133.528
11.345,133.460
11.430,133.439
11.515,133.423
11.599,133.333
11.684,133.553
11.769,133.390
11.853,133.501
11.938,133.216
12.023,133.412
12.107,133.395
12.192,133.228
12.277,133.270
12.361,133.081
12.446,133.102
12.531,133.087
12.615,133.092
12.700,132.998
12.785,132.997
12.869,133.149
12.954,132.924
13.039,133.131
13.123,133.233
13.208,133.209
13.293,133.209
13.377,133.315
13.462,133.407
13.547,133.313
13.631,133.486
13.716,133.579
13.801,133.493
13.885,133.379
13.970,133.325
14.055,133.572
14.139,133.559
14.224,133.717
14.309,133.516
14.393,133.917
14.478,134.011
14.563,134.038
14.647,134.191
14.732,134.275
14.817,134.256
14.901,134.362
14.986,134.684
15.071,134.736
15.155,134.777
15.240,134.844
15.325,135.077
15.409,135.447
15.494,135.477
15.579,135.544
15.663,135.756
15.748,135.757
15.833,135.918
15.917,136.073
16.002,136.177
16.087,136.483
16.171,136.794
16.256,136.926
16.341,137.048
16.425,137.183
16.510,137.057
16.595,136.983
16.679,137.511
16.764,137.730
16.849,137.471
16.933,137.723
17.018,138.187
17.103,138.233
17.187,138.394
17.272,138.530
17.357,138.556
17.441,138.750
17.526,138.808
17.611,139.228
17.695,139.319
17.780,139.303
17.865,139.334
17.949,139.388
18.034,139.612
18.119,139.727
18.203,139.829
18.288,139.846
18.373,139.628
18.457,139.765
18.542,139.853
18.627,140.080
18.711,140.162
18.796,140.074
18.881,140.233
18.965,140.085
19.050,139.922
19.135,139.644
19.219,139.766
19.304,139.615
19.389,139.920
19.473,139.974
19.558,140.038
19.643,140.070
19.727,140.232
19.812,140.116
19.897,139.936
19.981,140.227
20.066,140.438
20.151,140.334
20.235,140.436
20.320,140.253
20.405,140.176
20.489,140.288
20.574,140.539
20.659,140.673
20.743,140.575
20.828,140.541
20.913,140.537
20.997,140.562
21.082,140.607
21.167,140.771
21.251,140.568
21.336,140.524
21.421,140.355
21.505,140.559
21.590,140.727
21.675,140.821
21.759,140.861
21.844,140.780
21.929,140.580
22.013,141.072
22.098,140.733
22.183,140.590
22.267,140.856
22.352,141.053
22.437,140.896
22.521,140.846
22.606,140.815
22.691,140.765
22.775,140.726
22.860,140.578
22.945,140.710
23.029,140.100
23.114,140.488
23.199,141.055
23.283,140.879
23.368,140.763
23.453,140.837
23.537,140.921
23.622,140.783
23.707,140.614
23.791,140.628
23.876,140.561
23.961,140.476
24.045,140.560
24.130,140.597
24.215,140.816
24.299,140.804
24.384,140.886
24.469,140.375
24.553,140.237
24.638,140.902
24.723,140.660
24.807,140.446
24.892,140.161
24.977,140.453
25.061,140.736
25.146,140.807
25.231,141.197
25.315,141.051
25.400,141.271
25.485,141.377
25.569,141.480
25.654,141.632
25.739,141.686
25.823,141.539
25.908,141.477
25.993,141.144
26.077,141.376
26.162,141.433
26.247,141.326
26.331,141.712
26.416,141.960
26.501,142.052
26.585,141.911
26.670,141.787
26.755,142.160
26.839,142.089
26.924,142.206
27.009,142.066
27.093,141.766
27.178,142.245
27.263,142.440
27.347,142.246
27.432,142.450
27.517,142.428
27.601,142.424
27.686,142.580
27.771,142.656
27.855,142.784
27.940,142.878
28.025,142.920
28.109,142.808
28.194,142.866
28.279,142.912
28.363,142.967
28.448,142.928
28.533,142.903
28.617,142.963
28.702,142.914
28.787,142.803
28.871,142.740
28.956,142.767
29.041,142.872
29.125,142.829
29.210,143.080
29.295,142.988
29.379,142.833
29.464,142.501
29.549,142.822
29.633,142.906
29.718,142.752
29.803,142.627
29.887,142.581
29.972,142.699
30.057,142.744
30.141,142.631
30.226,142.399
30.311,142.237
30.395,142.114
30.480,141.990
30.565,142.180
30.649,142.321
30.734,142.141
30.819,141.864
30.903,141.888
30.988,141.476
31.073,141.369
31.157,141.689
31.242,141.872
31.327,141.743
31.411,141.529
31.496,141.380
31.581,141.191
31.665,141.288
31.750,141.436
31.835,141.214
31.919,141.011
32.004,140.610
32.089,140.799
32.173,140.991
32.258,141.160
32.343,141.360
32.427,141.473
32.512,141.414
32.597,141.512
32.681,141.639
32.766,141.700
32.851,142.008
32.935,142.119
33.020,142.084
33.105,142.177
33.189,142.123
33.274,142.000
33.359,141.800
33.443,141.922
33.528,141.495
33.613,141.530
33.697,141.461
33.782,141.249
33.867,141.385
33.951,141.132
34.036,140.984
34.121,141.020
34.205,140.918
34.290,140.798
34.375,140.882
34.459,140.909
34.544,141.176
34.629,141.174
34.713,141.072
34.798,140.842
34.883,140.892
34.967,140.943
35.052,141.224
35.137,141.175
35.221,141.136
35.306,141.133
35.391,141.077
35.475,141.256
35.560,141.430
35.645,141.281
35.729,140.927
35.814,141.079
35.899,141.158
35.983,141.187
36.068,140.827
36.153,140.808
36.237,140.754
36.322,140.491
36.407,140.295
36.491,140.106
36.576,140.146
36.661,140.000
36.745,139.662
36.830,139.558
36.915,139.528
36.999,139.780
37.084,139.745
37.169,139.584
37.253,139.528
37.338,139.330
37.423,138.859
37.507,138.635
37.592,138.179
37.677,137.994
37.761,137.832
37.846,137.681
37.931,137.030
38.015,137.707
38.100,137.494
38.185,137.312
38.269,137.441
38.354,137.356
38.439,137.366
38.523,137.216
38.608,137.207
38.693,137.308
38.777,137.195
38.862,137.260
38.947,137.219
39.031,137.006
39.116,136.984
39.201,136.974
39.285,137.082
39.370,137.143
39.455,137.544
39.539,137.631
39.624,137.894
39.709,137.920
39.793,138.126
39.878,138.094
39.963,138.041
40.047,137.765
40.132,137.801
40.217,137.639
40.301,137.618
40.386,137.408
40.471,137.351
40.555,137.472
40.640,137.350
40.725,137.301
40.809,137.277
40.894,137.471
40.979,137.274
41.063,137.060
41.148,136.954
41.233,136.960
41.317,136.808
41.402,136.792
41.487,136.638
41.571,136.561
41.656,136.747
41.741,136.350
41.825,136.288
41.910,136.225
41.995,136.122
42.079,136.036
42.164,135.854
42.249,135.810
42.333,135.721
42.418,135.666
42.503,135.645
42.587,135.588
42.672,135.766
42.757,135.687
42.841,135.464
42.926,135.507
43.011,135.454
43.095,135.429
43.180,135.445
43.265,135.362
43.349,135.460
43.434,135.486
43.519,135.498
43.603,135.405
43.688,135.555
43.773,135.616
43.857,136.047
43.942,136.126
44.027,136.130
44.111,136.164
44.196,136.089
44.281,135.895
44.365,135.846
44.450,135.776
44.535,135.631
44.619,135.677
44.704,135.773
44.789,135.658
44.873,135.559
44.958,135.687
45.043,135.744
45.127,135.533
45.212,135.448
45.297,135.217
45.381,135.131
45.466,135.114
45.551,135.292
45.635,135.198
45.720,135.037
45.805,135.140
45.889,135.178
45.974,135.082
46.059,135.231
46.143,135.300
46.228,135.020
46.313,135.164
46.397,135.022
46.482,135.066
46.567,135.009
46.651,135.188
46.736,135.111
46.821,135.190
46.905,135.376
46.990,135.412
47.075,135.423
47.159,135.624
47.244,135.769
47.329,135.715
47.413,135.698
47.498,135.409
47.583,135.386
47.667,135.163
47.752,135.194
47.837,135.273
47.921,135.194
48.006,135.195
48.091,135.042
48.175,135.040
48.260,134.978
48.345,135.245
48.429,135.217
48.514,135.074
48.599,134.881
48.683,134.923
48.768,135.189
48.853,135.235
48.937,135.144
49.022,135.315
49.107,135.221
49.191,135.093
49.276,135.093
49.361,135.176
49.445,134.911
49.530,134.739
49.615,134.680
49.699,134.700
49.784,134.741
49.869,134.621
49.953,134.780
50.038,134.723
50.123,134.641
50.207,134.762
50.292,134.963
50.377,134.921
50.461,134.879
50.546,134.871
50.631,134.853
50.715,134.988
50.800,135.068
50.885,135.313
50.969,135.317
51.054,135.228
51.139,135.164
51.223,134.961
51.308,135.014
51.393,134.911
51.477,134.902
51.562,134.926
51.647,134.832
51.731,134.503
51.816,134.148
51.901,134.409
51.985,134.451
52.070,134.447
52.155,134.310
52.239,134.520
52.324,134.641
52.409,134.622
52.493,134.303
52.578,134.473
52.663,134.562
52.747,134.749
52.832,134.529
52.917,134.639
53.001,134.569
53.086,134.349
53.171,134.430
53.255,134.475
53.340,134.365
53.425,134.386
53.509,134.165
53.594,134.243
53.679,134.375
53.763,134.541
53.848,134.540
53.933,134.647
54.017,134.772
54.102,134.530
54.187,134.484
54.271,134.286
54.356,134.229
54.441,134.382
54.525,134.360
54.610,134.540
54.695,134.494
54.779,134.322
54.864,134.372
54.949,134.242
55.033,134.336
55.118,134.474
55.203,134.557
55.287,134.316
55.372,134.424
55.457,134.331
55.541,134.505
55.626,134.479
55.711,134.463
55.795,134.563
55.880,134.708
55.965,134.465
56.049,134.461
56.134,134.363
56.219,134.407
56.303,132.871
56.388,132.013
56.473,134.125
56.557,134.762
56.642,134.974
56.727,134.939
56.811,134.770
56.896,134.722
56.981,134.602
57.065,134.534
57.150,134.488
57.235,134.397
57.319,134.402
57.404,134.347
57.489,134.514
57.573,134.668
57.658,134.659
57.743,134.849
57.827,134.676
57.912,134.659
57.997,134.668
58.081,134.776
58.166,134.885
58.251,135.068
58.335,134.879
58.420,134.938
58.505,135.213
58.589,135.317
58.674,135.500
58.759,135.494
58.843,135.643
58.928,135.716
59.013,135.740
59.097,135.754
59.182,135.517
59.267,135.386
59.351,135.399
59.436,135.279
59.521,135.335
59.605,135.332
59.690,135.526
59.775,135.368
59.859,135.339
59.944,135.437
60.029,135.411
60.113,134.916
60.198,133.977
60.283,134.942
60.367,135.111
60.452,135.204
60.537,135.268
60.621,135.261
60.706,135.259
60.791,135.332
60.875,135.263
60.960,135.245
61.045,135.271
61.129,135.225
61.214,135.257
61.299,135.342
61.383,135.400
61.468,135.573
61.553,135.647
61.637,135.760
61.722,135.843
61.807,135.775
61.891,135.852
61.976,136.103
62.061,135.989
62.145,135.917
62.230,135.948
62.315,135.844
62.399,135.986
62.484,136.072
62.569,135.971
62.653,136.008
62.738,135.894
62.823,135.791
62.907,135.878
62.992,135.788
63.077,135.690
63.161,135.779
63.246,135.646
63.331,135.469
63.415,135.519
63.500,135.587
63.585,136.011
63.669,135.946
63.754,136.046
63.839,136.233
63.923,136.312
64.008,136.461
64.093,136.261
64.177,136.473
64.262,136.543
64.347,136.412
64.431,136.314
64.516,136.487
64.601,136.719
64.685,136.725
64.770,136.630
64.855,136.798
64.939,136.871
65.024,136.799
65.109,137.049
65.193,137.034
65.278,136.780
65.363,136.741
65.447,136.827
65.532,136.880
65.617,136.870
65.701,136.989
65.786,136.908
65.871,137.225
65.955,137.202
66.040,137.065
66.125,137.134
66.209,137.184
66.294,137.264
66.379,136.942
66.463,137.076
66.548,137.286
66.633,137.455
66.717,137.269
66.802,137.304
66.887,137.301
66.971,137.283
67.056,137.367
67.141,137.358
67.225,137.469
67.310,137.567
67.395,137.720
67.479,137.799
67.564,137.834
67.649,137.877
67.733,137.818
67.818,137.755
67.903,137.807
67.987,137.690
68.072,137.771
68.157,137.755
68.241,137.607
68.326,137.701
68.411,137.878
68.495,137.936
68.580,137.812
68.665,137.843
68.749,137.844
68.834,137.894
68.919,138.110
69.003,137.973
69.088,137.814
69.173,138.030
69.257,137.991
69.342,138.104
69.427,138.198
69.511,138.280
69.596,138.258
69.681,138.368
69.765,138.383
69.850,138.361
69.935,138.577
70.019,138.322
70.104,138.366
70.189,138.327
70.273,138.188
70.358,138.102
70.443,138.224
70.527,138.302
70.612,138.392
70.697,138.285
70.781,138.342
70.866,138.358
70.951,138.534
71.035,138.437
71.120,138.742
71.205,138.615
71.289,138.589
71.374,138.500
71.459,138.382
71.543,138.531
71.628,138.411
71.713,138.320
71.797,138.254
71.882,138.507
71.967,138.862
72.051,138.974
72.136,138.732
72.221,138.839
72.305,138.994
72.390,138.617
72.475,138.749
72.559,138.838
72.644,138.957
72.729,139.050
72.813,138.950
72.898,138.979
72.983,139.111
73.067,138.984
73.152,139.035
73.237,138.943
73.321,138.917
73.406,138.959
73.491,138.803
73.575,138.899
73.660,138.750
73.745,138.980
73.829,138.951
73.914,138.896
73.999,139.048
74.083,139.168
74.168,139.308
74.253,139.363
74.337,139.327
74.422,139.535
74.507,139.370
74.591,139.491
74.676,139.439
74.761,139.617
74.845,139.707
74.930,140.009
75.015,139.791
75.099,139.614
75.184,139.886
75.269,139.833
75.353,139.942
75.438,139.948
75.523,140.072
