X,Y
0.00000,169.6320
0.00333,169.7804
0.00667,169.9016
0.01000,169.9004
0.01333,169.8682
0.01667,169.8980
0.02000,170.0524
0.02333,170.3292
0.02667,170.4622
0.03000,170.5061
0.03333,170.5455
0.03667,170.7210
0.04000,170.9319
0.04333,171.0397
0.04667,171.0817
0.05000,171.3059
0.05333,171.4267
0.05667,171.4967
0.06000,171.5374
0.06333,171.6014
0.06667,171.6918
0.07000,171.7674
0.07333,171.9112
0.07667,171.9565
0.08000,172.0078
0.08333,172.0721
0.08667,172.0626
0.09000,172.1048
0.09333,172.2227
0.09667,172.2124
0.10000,172.2726
0.10333,172.2399
0.10667,172.3464
0.11000,172.5112
0.11333,172.6878
0.11667,172.6970
0.12000,172.7813
0.12333,172.8722
0.12667,172.9015
0.13000,172.9989
0.13333,173.0364
0.13667,173.0658
0.14000,173.0388
0.14333,173.1343
0.14667,173.1937
0.15000,173.3228
0.15333,173.3680
0.15667,173.3868
0.16000,173.5258
0.16333,173.6580
0.16667,173.7663
0.17000,173.8826
0.17333,174.0381
0.17667,174.2053
0.18000,174.2489
0.18333,174.2822
0.18667,174.3681
0.19000,174.5297
0.19333,174.8538
0.19667,175.0793
0.20000,175.2628
0.20333,175.5160
0.20667,175.8930
0.21000,176.1132
0.21333,176.2435
0.21667,176.4216
0.22000,176.6152
0.22333,176.7114
0.22667,176.7925
0.23000,176.9524
0.23333,176.9600
0.23667,177.0820
0.24000,177.2832
0.24333,177.3374
0.24667,177.4836
0.25000,177.2463
0.25333,177.5511
0.25667,177.7928
0.26000,177.9913
0.26333,178.1026
0.26667,178.0913
0.27000,178.1938
0.27333,178.2804
0.27667,178.2949
0.28000,178.4581
0.28333,178.6352
0.28667,178.7744
0.29000,178.9207
0.29333,179.1478
0.29667,179.1365
0.30000,179.3141
0.30333,179.3401
0.30667,179.4363
0.31000,179.7621
0.31333,179.9229
0.31667,180.1655
0.32000,180.2576
0.32333,180.2679
0.32667,180.4603
0.33000,180.6404
0.33333,180.7190
0.33667,180.7880
0.34000,180.8366
0.34333,180.8745
0.34667,181.0130
0.35000,181.0311
0.35333,181.0986
0.35667,181.1918
0.36000,181.2433
0.36333,181.2281
0.36667,181.3085
0.37000,181.3275
0.37333,181.5789
0.37667,181.6298
0.38000,181.9644
0.38333,182.0909
0.38667,182.3339
0.39000,182.4360
0.39333,182.4834
0.39667,182.7092
0.40000,182.9648
0.40333,183.1343
0.40667,183.2608
0.41000,183.4909
0.41333,183.6579
0.41667,183.8646
0.42000,184.0391
0.42333,184.1895
0.42667,184.3260
0.43000,184.5648
0.43333,184.7493
0.43667,184.9238
0.44000,184.9647
0.44333,185.2552
0.44667,185.2823
0.45000,185.5114
0.45333,185.8072
0.45667,185.9333
0.46000,186.0537
0.46333,186.3002
0.46667,186.4999
0.47000,186.6217
0.47333,186.7139
0.47667,186.8784
0.48000,187.0442
0.48333,187.2398
0.48667,187.5445
0.49000,187.5454
0.49333,187.6932
0.49667,187.8421
0.50000,187.8724
0.50333,187.9548
0.50667,187.9720
0.51000,188.0338
0.51333,188.1464
0.51667,188.2428
0.52000,188.2316
0.52333,188.3142
0.52667,188.4844
0.53000,188.7070
0.53333,188.7918
0.53667,188.9924
0.54000,189.2357
0.54333,189.3735
0.54667,189.5497
0.55000,189.5888
0.55333,189.7589
0.55667,189.7274
0.56000,189.9275
0.56333,190.0322
0.56667,190.1786
0.57000,190.4642
0.57333,190.6578
0.57667,190.9764
0.58000,191.2517
0.58333,191.4273
0.58667,191.6657
0.59000,191.8240
0.59333,192.0217
0.59667,192.1262
0.60000,192.2821
0.60333,192.4723
0.60667,192.6858
0.61000,192.7926
0.61333,192.8544
0.61667,192.9901
0.62000,193.1653
0.62333,193.2443
0.62667,193.3476
0.63000,193.5328
0.63333,193.7188
0.63667,193.8049
0.64000,193.8741
0.64333,193.9145
0.64667,193.8697
0.65000,193.9928
0.65333,194.0997
0.65667,194.2218
0.66000,194.2875
0.66333,194.3054
0.66667,194.4944
0.67000,194.6667
0.67333,194.7687
0.67667,194.8900
0.68000,195.0500
0.68333,195.2951
0.68667,195.6053
0.69000,195.8241
0.69333,196.0841
0.69667,196.3714
0.70000,196.6857
0.70333,197.0984
